,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms,e_coli
1,984.0,738,932,712,967.0,925.0,972.0
2,1030.0,683,955,655,1026.0,997.0,1027.0
3,1011.0,668,952,641,1002.0,976.0,1007.0
4,1025.0,682,951,646,1009.0,966.0,1020.0
5,1043.0,689,936,646,1041.0,980.0,1041.0
6,1031.0,690,916,659,1020.0,995.0,1030.0
7,1104.0,709,1038,670,1097.0,1059.0,1103.0
8,982.0,655,907,628,981.0,936.0,978.0
9,1060.0,706,995,683,1049.0,998.0,1056.0
10,1030.0,683,987,664,1027.0,966.0,1029.0
11,1036.0,675,970,657,1032.0,935.0,1027.0
12,998.0,669,974,645,997.0,944.0,996.0
