,colour_turbity_tests,chlorine_bacteriology_tests,turbity,colour,free_chlorine,total_coliforms,thermo_coliforms
1,515.0,1056.0,475.0,510,1056,1039,1049.0
2,505.0,1090.0,488.0,498,1088,1075,1090.0
3,509.0,1060.0,432.0,450,1056,1034,1049.0
4,543.0,963.0,493.0,506,956,927,959.0
5,547.0,1013.0,519.0,518,1009,984,1012.0
6,583.0,1017.0,559.0,553,1006,986,1010.0
7,560.0,1012.0,538.0,534,1008,986,1009.0
8,572.0,1011.0,552.0,560,1011,1004,1011.0
9,563.0,1014.0,555.0,562,1013,987,1009.0
10,554.0,1013.0,538.0,542,1011,991,1012.0
11,551.0,1007.0,539.0,544,1008,982,998.0
12,556.0,1015.0,539.0,544,1010,977,1012.0
